LSTM,CNN_LSTM,REAL_VALUE
779.69934,778.0272,780.4
779.06976,777.3605,780.2
778.8569,776.97314,781.0
779.09863,777.5514,781.2
779.2876,777.9635,781.3
779.5376,778.14874,781.0
779.7505,777.9286,779.0
779.1338,776.15704,777.75
778.05585,774.4068,780.05
778.18146,775.94965,780.5
778.6518,776.97406,780.8
778.7992,777.4984,782.05
779.55743,778.6039,782.3
780.3969,779.1537,783.45
781.07007,780.1676,782.85
781.52374,780.02185,782.9
781.7385,779.94257,785.4
782.6329,781.77014,775.75
780.29834,774.7122,778.35
778.17847,774.0316,781.5
779.2193,777.10046,781.25
779.5147,777.9873,778.7
778.3129,776.0739,778.3
778.06476,774.7999,777.25
777.5988,773.5519,777.8
776.78436,773.7518,777.1
776.42426,773.27893,774.85
775.3542,770.9657,774.9
774.2461,770.1699,774.55
773.7574,769.7394,775.55
773.64716,770.592,775.65
773.64276,771.049,777.05
774.2072,772.44604,776.1
774.4434,771.9955,777.45
774.7669,773.02057,776.4
774.92175,772.4112,777.25
775.01013,772.9389,779.0
775.80194,774.7928,780.8
777.0809,776.924,780.25
777.7501,777.07654,786.15
779.9861,781.5486,781.05
780.7507,779.2621,782.6
780.4388,779.28595,779.05
779.95886,776.5745,780.25
779.38153,776.5935,779.0
778.62036,775.82837,778.75
777.9816,775.29645,778.3
777.5292,774.7804,778.0
